"age","educNum","mariStat","occup","origEthn","sex","hoursWeek","income","LcapitalGain","LcapitalLoss","child"
19,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildYes"
39,9,"Not-Married","White-Collar","CaucYes","Male",80,"incB",0,0,"ChildNo"
49,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
23,12,"Never-Married","Other-occups","CaucYes","Male",52,"incB",0,0,"ChildNo"
20,10,"Never-Married","Sales","CaucNo","Male",44,"incB",0,0,"ChildYes"
45,13,"Not-Married","White-Collar","CaucYes","Male",40,"incB",0,7.25063551189868,"ChildYes"
30,10,"Married","Admin","CaucYes","Male",40,"incB",0,0,"ChildYes"
22,10,"Married","Service","CaucNo","Male",15,"incB",0,0,"ChildNo"
48,7,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
21,10,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildYes"
19,9,"Married","Admin","CaucYes","Female",25,"incB",0,0,"ChildNo"
48,12,"Married","Professional","CaucYes","Male",40,"incB",0,0,"ChildNo"
31,5,"Married","Blue-Collar","CaucYes","Male",43,"incB",0,0,"ChildNo"
53,13,"Married","Professional","CaucYes","Male",40,"incB",0,0,"ChildNo"
24,13,"Married","Other-occups","CaucYes","Male",50,"incB",0,0,"ChildNo"
49,9,"Not-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildNo"
25,9,"Never-Married","Blue-Collar","CaucYes","Male",35,"incB",0,0,"ChildNo"
57,13,"Married","Professional","CaucNo","Male",40,"incH",0,0,"ChildNo"
53,9,"Married","Blue-Collar","CaucYes","Male",38,"incB",0,0,"ChildNo"
44,14,"Not-Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
41,11,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
29,11,"Never-Married","Professional","CaucYes","Male",43,"incB",0,0,"ChildNo"
25,10,"Married","White-Collar","CaucNo","Female",40,"incB",0,0,"ChildNo"
47,15,"Married","Professional","CaucYes","Female",60,"incH",0,7.55118686729615,"ChildNo"
50,13,"Not-Married","White-Collar","CaucYes","Male",55,"incH",0,0,"ChildNo"
47,9,"Not-Married","White-Collar","CaucYes","Male",60,"incB",0,0,"ChildNo"
43,10,"Married","Other-occups","CaucYes","Male",40,"incH",0,0,"ChildNo"
46,3,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
35,11,"Married","Service","CaucYes","Male",40,"incB",0,0,"ChildNo"
41,9,"Married","Admin","CaucYes","Male",48,"incB",0,0,"ChildNo"
30,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",8.51998927871824,0,"ChildNo"
30,13,"Married","Sales","CaucYes","Male",40,"incB",7.78655180642871,0,"ChildNo"
48,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
42,16,"Married","Professional","CaucYes","Male",45,"incH",0,0,"ChildNo"
29,10,"Not-Married","Other-occups","CaucYes","Male",58,"incB",0,0,"ChildNo"
36,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
28,10,"Not-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildNo"
53,9,"Married","Admin","CaucYes","Female",40,"incH",0,0,"ChildNo"
49,10,"Married","White-Collar","CaucYes","Male",50,"incH",0,0,"ChildNo"
19,10,"Never-Married","Professional","CaucYes","Male",32,"incB",0,0,"ChildYes"
31,13,"Not-Married","Sales","CaucNo","Female",40,"incB",0,0,"ChildYes"
29,13,"Married","Sales","CaucYes","Male",70,"incH",0,0,"ChildNo"
23,10,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
79,10,"Married","Professional","CaucYes","Male",20,"incB",0,0,"ChildNo"
27,9,"Never-Married","Service","CaucYes","Male",40,"incB",0,0,"ChildYes"
40,12,"Married","Admin","CaucYes","Male",40,"incB",0,0,"ChildNo"
18,7,"Never-Married","Service","CaucYes","Female",22,"incB",0,0,"ChildYes"
31,4,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
18,9,"Never-Married","Sales","CaucYes","Male",30,"incB",0,0,"ChildNo"
52,13,"Married","Service","CaucYes","Male",40,"incB",0,0,"ChildNo"
46,9,"Married","Service","CaucYes","Female",40,"incB",0,0,"ChildNo"
59,9,"Married","Sales","CaucYes","Male",48,"incB",0,0,"ChildNo"
44,9,"Not-Married","Blue-Collar","CaucYes","Female",40,"incH",9.57115672841547,0,"ChildNo"
53,9,"Not-Married","Sales","CaucYes","Female",35,"incB",0,0,"ChildYes"
49,9,"Married","Other-occups","CaucYes","Male",40,"incH",0,0,"ChildNo"
33,14,"Married","Professional","CaucYes","Male",50,"incB",0,0,"ChildNo"
30,5,"Never-Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildNo"
43,16,"Never-Married","Professional","CaucYes","Female",50,"incH",0,0,"ChildNo"
57,11,"Married","Professional","CaucYes","Male",40,"incB",0,0,"ChildNo"
37,10,"Not-Married","Blue-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
28,10,"Not-Married","Blue-Collar","CaucNo","Female",25,"incB",0,0,"ChildNo"
34,13,"Married","Other-occups","CaucYes","Male",40,"incH",0,0,"ChildNo"
29,10,"Never-Married","Blue-Collar","CaucYes","Male",50,"incB",0,0,"ChildNo"
48,16,"Married","Professional","CaucYes","Male",60,"incH",0,7.55118686729615,"ChildNo"
37,10,"Married","Sales","CaucYes","Male",48,"incH",0,0,"ChildNo"
48,12,"Not-Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
32,9,"Never-Married","Service","CaucNo","Male",40,"incB",0,0,"ChildYes"
76,14,"Married","White-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
44,13,"Married","White-Collar","CaucYes","Male",60,"incH",9.61747075940341,0,"ChildNo"
47,14,"Never-Married","Professional","CaucYes","Female",50,"incB",0,0,"ChildNo"
20,10,"Never-Married","Other-occups","CaucYes","Female",40,"incB",0,0,"ChildYes"
29,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
32,9,"Married","Blue-Collar","CaucYes","Male",40,"incH",8.94754601503218,0,"ChildNo"
30,7,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildYes"
31,9,"Never-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildNo"
42,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
24,13,"Never-Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildNo"
38,15,"Married","Professional","CaucYes","Male",40,"incH",0,0,"ChildNo"
56,9,"Married","Service","CaucYes","Male",50,"incH",0,7.54327334670545,"ChildNo"
28,10,"Married","Sales","CaucYes","Female",25,"incB",8.31016902198191,0,"ChildNo"
36,9,"Never-Married","Blue-Collar","CaucYes","Female",40,"incB",0,0,"ChildYes"
53,5,"Married","Blue-Collar","CaucYes","Male",50,"incB",0,0,"ChildNo"
56,10,"Married","Sales","CaucYes","Male",50,"incB",0,0,"ChildNo"
49,11,"Married","Blue-Collar","CaucNo","Male",40,"incH",0,0,"ChildNo"
55,10,"Married","Sales","CaucYes","Male",56,"incB",0,0,"ChildNo"
22,9,"Never-Married","Blue-Collar","CaucYes","Male",41,"incB",0,0,"ChildNo"
21,10,"Never-Married","Service","CaucYes","Female",40,"incB",0,0,"ChildYes"
40,13,"Married","White-Collar","CaucYes","Male",60,"incB",0,0,"ChildNo"
30,13,"Never-Married","White-Collar","CaucNo","Male",40,"incB",0,0,"ChildYes"
29,13,"Married","Professional","CaucYes","Male",50,"incH",0,0,"ChildNo"
19,10,"Never-Married","Service","CaucNo","Male",35,"incB",0,0,"ChildYes"
47,13,"Married","White-Collar","CaucYes","Female",40,"incH",0,0,"ChildNo"
20,10,"Never-Married","Admin","CaucYes","Female",28,"incB",0,7.4500795698075,"ChildYes"
31,12,"Married","Admin","CaucYes","Male",40,"incH",0,0,"ChildNo"
39,10,"Not-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
28,12,"Never-Married","Sales","CaucYes","Female",60,"incB",0,0,"ChildNo"
24,9,"Never-Married","Service","CaucYes","Female",40,"incB",0,7.47477218239787,"ChildNo"
38,9,"Married","Blue-Collar","CaucYes","Male",35,"incB",8.38640090116621,0,"ChildNo"
37,13,"Married","Sales","CaucYes","Male",50,"incB",0,0,"ChildNo"
46,12,"Not-Married","Other-occups","CaucNo","Female",36,"incB",0,0,"ChildNo"
38,14,"Married","Professional","CaucYes","Male",40,"incH",0,0,"ChildNo"
43,9,"Married","Blue-Collar","CaucYes","Male",60,"incB",0,0,"ChildNo"
27,11,"Married","Admin","CaucYes","Female",35,"incB",0,0,"ChildNo"
20,10,"Never-Married","Sales","CaucYes","Male",20,"incB",0,0,"ChildYes"
49,10,"Married","Blue-Collar","CaucNo","Male",40,"incH",0,0,"ChildNo"
61,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
27,10,"Never-Married","Sales","CaucYes","Female",40,"incB",0,0,"ChildYes"
19,10,"Never-Married","Service","CaucYes","Male",30,"incB",0,0,"ChildYes"
45,11,"Never-Married","Professional","CaucYes","Female",40,"incH",0,7.35564110297425,"ChildNo"
70,10,"Never-Married","Other-occups","CaucYes","Male",40,"incB",0,0,"ChildNo"
31,9,"Never-Married","Blue-Collar","CaucNo","Female",30,"incB",0,0,"ChildNo"
22,10,"Married","Service","CaucYes","Male",24,"incB",0,0,"ChildNo"
36,9,"Widowed","Service","CaucYes","Female",24,"incB",0,0,"ChildNo"
64,7,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,7.68708015578313,"ChildNo"
47,10,"Not-Married","Admin","CaucYes","Female",38,"incB",0,0,"ChildNo"
34,9,"Never-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildNo"
33,13,"Never-Married","White-Collar","CaucNo","Female",40,"incB",0,0,"ChildNo"
21,9,"Never-Married","Blue-Collar","CaucYes","Male",35,"incB",0,0,"ChildYes"
48,9,"Married","Blue-Collar","CaucYes","Male",46,"incB",0,0,"ChildNo"
23,13,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
71,10,"Not-Married","Sales","CaucNo","Male",2,"incB",0,7.50494206839617,"ChildNo"
29,9,"Not-Married","Blue-Collar","CaucYes","Male",60,"incB",0,0,"ChildNo"
42,13,"Not-Married","Service","CaucNo","Male",50,"incB",0,0,"ChildNo"
25,9,"Never-Married","Service","CaucYes","Female",40,"incB",0,0,"ChildNo"
44,14,"Not-Married","White-Collar","CaucNo","Female",40,"incB",0,0,"ChildNo"
28,9,"Never-Married","White-Collar","CaucNo","Female",40,"incB",0,0,"ChildNo"
45,14,"Married","Sales","CaucYes","Male",40,"incH",0,0,"ChildNo"
36,10,"Not-Married","Service","CaucYes","Female",40,"incB",0,0,"ChildNo"
39,12,"Never-Married","White-Collar","CaucYes","Male",42,"incB",0,0,"ChildNo"
46,14,"Widowed","Other-occups","CaucYes","Male",40,"incB",0,0,"ChildNo"
18,7,"Never-Married","Blue-Collar","CaucYes","Male",16,"incB",0,0,"ChildYes"
66,11,"Widowed","Professional","CaucYes","Female",20,"incB",0,0,"ChildNo"
27,9,"Never-Married","Service","CaucYes","Male",40,"incB",0,7.59135704669855,"ChildNo"
28,9,"Married","Other-occups","CaucYes","Male",40,"incB",0,0,"ChildNo"
51,10,"Married","Sales","CaucYes","Male",40,"incH",0,7.58984151218266,"ChildNo"
27,13,"Never-Married","Blue-Collar","CaucYes","Male",50,"incB",0,0,"ChildNo"
28,13,"Married","Professional","CaucYes","Male",40,"incH",0,0,"ChildNo"
27,9,"Not-Married","Sales","CaucYes","Female",25,"incB",0,0,"ChildNo"
21,9,"Never-Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildYes"
34,9,"Never-Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
18,9,"Never-Married","Service","CaucYes","Male",12,"incB",0,0,"ChildYes"
33,13,"Married","Professional","CaucYes","Male",65,"incB",0,0,"ChildNo"
44,10,"Married","White-Collar","CaucNo","Male",38,"incH",0,0,"ChildNo"
43,10,"Not-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildNo"
30,10,"Never-Married","Blue-Collar","CaucNo","Male",45,"incB",0,0,"ChildNo"
40,4,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
37,10,"Married","Admin","CaucYes","Male",42,"incH",0,0,"ChildNo"
34,9,"Married","Admin","CaucNo","Male",40,"incB",0,0,"ChildNo"
41,13,"Not-Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
31,14,"Married","Professional","CaucYes","Female",50,"incB",0,0,"ChildNo"
58,16,"Married","Professional","CaucYes","Male",1,"incH",0,0,"ChildNo"
38,10,"Not-Married","Blue-Collar","CaucNo","Female",28,"incB",0,0,"ChildNo"
24,10,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
41,13,"Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
47,10,"Married","Other-occups","CaucYes","Male",45,"incB",0,0,"ChildNo"
41,13,"Married","Other-occups","CaucYes","Male",24,"incB",0,0,"ChildNo"
23,3,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
36,10,"Not-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
40,14,"Never-Married","White-Collar","CaucYes","Female",55,"incH",9.55286568031047,0,"ChildNo"
35,14,"Married","Professional","CaucYes","Male",40,"incH",8.89549263145163,0,"ChildNo"
24,9,"Never-Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildNo"
26,14,"Never-Married","Professional","CaucYes","Female",40,"incB",0,7.53743003658651,"ChildNo"
51,13,"Married","White-Collar","CaucYes","Male",50,"incH",0,0,"ChildNo"
42,10,"Never-Married","Professional","CaucYes","Female",40,"incB",0,7.20117088328168,"ChildNo"
37,9,"Not-Married","Admin","CaucYes","Female",35,"incB",0,0,"ChildNo"
18,7,"Never-Married","Sales","CaucYes","Female",40,"incB",0,0,"ChildYes"
36,13,"Married","Service","CaucNo","Male",36,"incH",8.89549263145163,0,"ChildNo"
35,9,"Not-Married","Blue-Collar","CaucYes","Male",60,"incB",0,0,"ChildNo"
58,9,"Married","Sales","CaucYes","Female",35,"incH",9.61747075940341,0,"ChildNo"
44,9,"Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
37,9,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
35,10,"Never-Married","Sales","CaucNo","Female",40,"incB",0,0,"ChildNo"
60,9,"Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
54,4,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
37,13,"Never-Married","White-Collar","CaucNo","Male",60,"incH",0,0,"ChildNo"
50,12,"Not-Married","Sales","CaucYes","Female",40,"incB",0,0,"ChildNo"
38,13,"Married","Sales","CaucYes","Male",50,"incB",0,0,"ChildNo"
45,13,"Married","Professional","CaucYes","Male",55,"incB",0,0,"ChildNo"
25,6,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
31,10,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
90,9,"Never-Married","Service","CaucNo","Male",40,"incB",0,7.69938940625674,"ChildNo"
54,9,"Married","Admin","CaucNo","Male",20,"incB",0,0,"ChildNo"
53,1,"Never-Married","Blue-Collar","CaucYes","Female",35,"incB",0,0,"ChildNo"
18,9,"Never-Married","Sales","CaucYes","Female",40,"incB",0,0,"ChildYes"
66,9,"Married","Blue-Collar","CaucYes","Male",50,"incB",7.25134498337221,0,"ChildNo"
75,11,"Widowed","Admin","CaucYes","Female",20,"incB",0,0,"ChildNo"
65,9,"Not-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildNo"
35,7,"Not-Married","Blue-Collar","CaucNo","Male",40,"incB",8.20930841164694,0,"ChildNo"
41,9,"Not-Married","Sales","CaucNo","Female",38,"incB",0,0,"ChildNo"
25,10,"Never-Married","Admin","CaucYes","Male",42,"incB",0,0,"ChildNo"
33,10,"Not-Married","Blue-Collar","CaucNo","Female",40,"incB",0,0,"ChildNo"
28,15,"Never-Married","Professional","CaucYes","Male",55,"incH",0,0,"ChildNo"
59,9,"Married","Service","CaucYes","Male",40,"incB",0,0,"ChildNo"
40,10,"Never-Married","Admin","CaucYes","Female",38,"incB",0,0,"ChildNo"
41,13,"Married","White-Collar","CaucYes","Male",50,"incH",0,0,"ChildNo"
38,14,"Married","White-Collar","CaucYes","Male",70,"incH",0,0,"ChildNo"
23,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildYes"
40,13,"Married","Professional","CaucYes","Male",40,"incH",0,0,"ChildNo"
41,9,"Married","Service","CaucYes","Female",20,"incB",0,0,"ChildNo"
24,12,"Married","Other-occups","CaucYes","Male",50,"incB",0,0,"ChildNo"
38,10,"Not-Married","Blue-Collar","CaucYes","Male",40,"incB",0,7.46278915741245,"ChildNo"
58,9,"Married","Admin","CaucYes","Male",45,"incH",0,0,"ChildNo"
32,9,"Never-Married","Service","CaucYes","Female",34,"incB",0,0,"ChildNo"
40,12,"Married","Other-occups","CaucYes","Male",60,"incH",0,7.58984151218266,"ChildNo"
41,15,"Married","Professional","CaucYes","Female",40,"incH",0,0,"ChildNo"
42,13,"Married","Admin","CaucNo","Female",40,"incB",0,0,"ChildNo"
59,6,"Widowed","Service","CaucNo","Female",30,"incB",0,0,"ChildNo"
19,10,"Never-Married","Admin","CaucYes","Male",40,"incB",0,0,"ChildYes"
58,10,"Never-Married","Blue-Collar","CaucYes","Male",20,"incB",0,0,"ChildNo"
42,9,"Married","Blue-Collar","CaucNo","Male",40,"incH",0,0,"ChildNo"
20,9,"Never-Married","Service","CaucYes","Female",40,"incB",0,0,"ChildYes"
32,9,"Not-Married","Service","CaucYes","Female",30,"incB",0,0,"ChildNo"
45,11,"Widowed","White-Collar","CaucYes","Female",45,"incB",0,0,"ChildNo"
50,4,"Not-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
36,13,"Not-Married","Professional","CaucYes","Female",40,"incB",0,0,"ChildYes"
45,9,"Married","Sales","CaucYes","Male",60,"incB",0,0,"ChildNo"
59,10,"Married","Sales","CaucYes","Male",40,"incB",8.31016902198191,0,"ChildNo"
26,7,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
37,10,"Married","White-Collar","CaucNo","Male",75,"incH",0,0,"ChildNo"
64,9,"Married","White-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
33,13,"Never-Married","Professional","CaucYes","Female",45,"incB",0,0,"ChildNo"
33,9,"Married","Blue-Collar","CaucYes","Female",40,"incH",0,0,"ChildNo"
61,9,"Married","White-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
50,14,"Married","Blue-Collar","CaucYes","Male",98,"incB",7.78655180642871,0,"ChildNo"
27,14,"Never-Married","Professional","CaucYes","Male",35,"incB",0,0,"ChildYes"
30,9,"Not-Married","Professional","CaucYes","Female",40,"incB",0,0,"ChildYes"
43,9,"Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
44,10,"Married","Blue-Collar","CaucYes","Male",40,"incH",8.89549263145163,0,"ChildNo"
35,10,"Never-Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
25,10,"Never-Married","Other-occups","CaucYes","Female",40,"incB",0,0,"ChildYes"
24,10,"Married","Blue-Collar","CaucYes","Female",48,"incH",8.89549263145163,0,"ChildNo"
22,13,"Never-Married","Professional","CaucYes","Female",15,"incB",0,0,"ChildNo"
42,10,"Married","Blue-Collar","CaucYes","Male",40,"incH",8.55236726642389,0,"ChildNo"
34,12,"Not-Married","Sales","CaucNo","Female",45,"incB",0,0,"ChildNo"
60,13,"Not-Married","Professional","CaucYes","Female",42,"incB",0,0,"ChildNo"
21,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildYes"
57,14,"Married","Sales","CaucYes","Male",40,"incH",9.61747075940341,0,"ChildNo"
41,15,"Married","Professional","CaucYes","Male",60,"incH",0,0,"ChildNo"
50,10,"Not-Married","Service","CaucYes","Male",45,"incB",0,0,"ChildNo"
25,13,"Never-Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
50,4,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
36,13,"Married","Professional","CaucYes","Male",45,"incB",0,0,"ChildNo"
31,9,"Not-Married","Professional","CaucYes","Female",40,"incB",0,0,"ChildNo"
29,13,"Never-Married","Other-occups","CaucYes","Male",56,"incB",0,0,"ChildNo"
21,10,"Never-Married","Sales","CaucYes","Male",45,"incB",0,0,"ChildYes"
27,13,"Never-Married","Other-occups","CaucNo","Female",40,"incB",0,0,"ChildNo"
65,9,"Married","Blue-Collar","CaucYes","Male",16,"incB",0,0,"ChildNo"
37,13,"Not-Married","Sales","CaucYes","Female",60,"incB",0,0,"ChildNo"
24,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildYes"
38,9,"Not-Married","Sales","CaucYes","Male",80,"incB",0,0,"ChildNo"
48,13,"Married","Admin","CaucYes","Male",40,"incH",8.94754601503218,0,"ChildNo"
21,10,"Never-Married","Service","CaucNo","Female",25,"incB",0,0,"ChildNo"
31,9,"Married","Blue-Collar","CaucYes","Male",45,"incH",0,0,"ChildNo"
55,9,"Married","Sales","CaucYes","Male",40,"incH",8.38640090116621,0,"ChildNo"
24,10,"Married","Admin","CaucNo","Female",40,"incB",0,0,"ChildNo"
43,9,"Not-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildNo"
26,12,"Never-Married","Other-occups","CaucYes","Male",45,"incB",0,0,"ChildNo"
46,12,"Never-Married","Professional","CaucYes","Female",33,"incB",0,0,"ChildNo"
35,12,"Married","Admin","CaucYes","Male",40,"incH",0,0,"ChildNo"
41,10,"Married","Blue-Collar","CaucYes","Male",54,"incH",0,0,"ChildNo"
26,13,"Never-Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildNo"
34,14,"Married","White-Collar","CaucNo","Male",35,"incH",8.89549263145163,0,"ChildNo"
36,13,"Not-Married","Professional","CaucNo","Female",40,"incH",0,0,"ChildNo"
22,10,"Never-Married","Sales","CaucYes","Male",15,"incB",0,0,"ChildYes"
24,10,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
77,10,"Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildNo"
22,3,"Married","Blue-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
29,10,"Never-Married","Other-occups","CaucYes","Female",40,"incB",0,0,"ChildNo"
62,9,"Widowed","Service","CaucYes","Female",24,"incB",0,0,"ChildNo"
39,9,"Married","White-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
43,10,"Married","Blue-Collar","CaucYes","Male",50,"incB",0,7.3038432252777,"ChildNo"
35,9,"Not-Married","Blue-Collar","CaucYes","Male",45,"incB",0,0,"ChildNo"
29,7,"Never-Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
76,14,"Married","Blue-Collar","CaucYes","Male",10,"incB",0,0,"ChildNo"
63,9,"Married","Blue-Collar","CaucYes","Male",45,"incB",0,0,"ChildNo"
43,10,"Married","Professional","CaucYes","Female",50,"incH",0,7.54327334670545,"ChildNo"
58,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
66,9,"Never-Married","Blue-Collar","CaucYes","Male",55,"incB",7.62608275807238,0,"ChildNo"
41,10,"Never-Married","Blue-Collar","CaucNo","Male",45,"incB",0,0,"ChildNo"
26,13,"Never-Married","Admin","CaucYes","Male",40,"incB",0,0,"ChildNo"
47,11,"Never-Married","Service","CaucYes","Male",40,"incB",0,0,"ChildNo"
55,6,"Married","Admin","CaucYes","Male",40,"incB",0,0,"ChildNo"
53,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
30,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
49,14,"Never-Married","Professional","CaucYes","Male",60,"incB",0,0,"ChildNo"
19,9,"Never-Married","Sales","CaucNo","Male",30,"incB",0,0,"ChildNo"
45,9,"Married","Service","CaucNo","Male",40,"incB",0,0,"ChildNo"
26,12,"Never-Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildNo"
38,11,"Married","Blue-Collar","CaucYes","Male",40,"incH",8.89549263145163,0,"ChildNo"
36,9,"Married","Other-occups","CaucYes","Male",40,"incH",8.89549263145163,0,"ChildNo"
33,9,"Never-Married","Blue-Collar","CaucYes","Male",20,"incB",0,0,"ChildNo"
22,10,"Never-Married","Other-occups","CaucNo","Female",40,"incB",0,0,"ChildYes"
43,13,"Never-Married","Sales","CaucYes","Male",42,"incB",0,0,"ChildNo"
56,12,"Not-Married","Service","CaucYes","Male",25,"incB",0,0,"ChildNo"
31,13,"Never-Married","Professional","CaucYes","Male",25,"incB",0,0,"ChildYes"
33,13,"Married","White-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
26,9,"Married","Service","CaucYes","Male",40,"incB",0,0,"ChildNo"
33,13,"Married","White-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
