"","age","educNum","mariStat","occup","origEthn","sex","hoursWeek","income","LcapitalGain","LcapitalLoss","child"
"15457",19,10,"Never-Married","Service","CaucYes","Female",40,"incB",0,0,"ChildYes"
"10097",42,13,"Married","Professional","CaucYes","Male",21,"incB",0,0,"ChildNo"
"36962",40,9,"Never-Married","Admin","CaucNo","Female",40,"incB",0,0,"ChildNo"
"11190",59,9,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
"11488",54,10,"Not-Married","Admin","CaucYes","Female",38,"incB",0,0,"ChildNo"
"8052",38,13,"Married","Sales","CaucYes","Male",42,"incH",8.94754601503218,0,"ChildNo"
"46363",64,9,"Not-Married","Blue-Collar","CaucNo","Female",40,"incB",0,0,"ChildNo"
"36469",57,13,"Married","Professional","CaucYes","Male",55,"incH",0,0,"ChildNo"
"12122",60,9,"Married","Sales","CaucYes","Female",25,"incB",0,0,"ChildNo"
"8585",53,12,"Married","Sales","CaucYes","Male",80,"incH",0,0,"ChildNo"
"27057",26,13,"Never-Married","Admin","CaucNo","Female",40,"incB",0,0,"ChildYes"
"14049",47,9,"Married","Blue-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
"8067",61,9,"Married","Sales","CaucNo","Male",63,"incB",0,0,"ChildNo"
"11225",42,9,"Never-Married","Sales","CaucYes","Male",60,"incH",0,0,"ChildNo"
"48292",45,9,"Married","Blue-Collar","CaucYes","Male",45,"incB",0,0,"ChildNo"
"32099",45,9,"Married","Blue-Collar","CaucYes","Male",60,"incH",8.89549263145163,0,"ChildNo"
"21688",56,10,"Not-Married","Admin","CaucYes","Female",35,"incB",0,0,"ChildNo"
"44361",40,13,"Never-Married","White-Collar","CaucYes","Female",55,"incB",0,0,"ChildNo"
"42963",40,9,"Never-Married","Blue-Collar","CaucYes","Male",44,"incB",0,0,"ChildYes"
"4307",30,9,"Married","Other-occups","CaucYes","Male",40,"incH",0,0,"ChildNo"
"31496",41,13,"Not-Married","Professional","CaucNo","Male",40,"incB",0,0,"ChildNo"
"36615",67,4,"Married","Other-occups","CaucNo","Male",40,"incB",0,0,"ChildNo"
"25093",31,13,"Never-Married","Professional","CaucYes","Female",40,"incB",0,0,"ChildNo"
"15436",47,13,"Married","Sales","CaucYes","Male",60,"incH",0,0,"ChildNo"
"15010",26,13,"Never-Married","Other-occups","CaucYes","Male",40,"incB",0,0,"ChildNo"
"17613",60,13,"Married","White-Collar","CaucYes","Male",60,"incH",8.89549263145163,0,"ChildNo"
"30082",39,11,"Married","Service","CaucYes","Male",40,"incB",0,0,"ChildNo"
"27698",61,6,"Married","Blue-Collar","CaucYes","Male",48,"incB",0,0,"ChildNo"
"15811",39,9,"Married","Blue-Collar","CaucYes","Male",45,"incB",0,0,"ChildNo"
"10020",35,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"2679",31,10,"Never-Married","Blue-Collar","CaucYes","Female",45,"incB",0,0,"ChildNo"
"14292",40,9,"Widowed","Service","CaucNo","Female",40,"incB",0,0,"ChildNo"
"16084",37,16,"Married","Professional","CaucYes","Male",60,"incB",0,0,"ChildNo"
"14088",31,10,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"25461",34,9,"Not-Married","Blue-Collar","CaucNo","Male",48,"incH",0,0,"ChildNo"
"37171",32,10,"Never-Married","Service","CaucNo","Male",40,"incB",0,0,"ChildNo"
"20805",35,13,"Married","Sales","CaucYes","Male",50,"incH",0,0,"ChildNo"
"21292",47,13,"Married","Sales","CaucYes","Male",40,"incH",0,0,"ChildNo"
"18780",50,13,"Never-Married","White-Collar","CaucYes","Male",50,"incH",0,0,"ChildNo"
"13935",29,10,"Married","Service","CaucYes","Male",40,"incB",0,0,"ChildNo"
"36869",64,9,"Widowed","Admin","CaucYes","Female",40,"incB",0,0,"ChildNo"
"42291",31,2,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,7.62217459481762,"ChildNo"
"37515",19,10,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"42990",31,10,"Married","Service","CaucYes","Male",40,"incB",0,0,"ChildNo"
"10369",49,10,"Not-Married","White-Collar","CaucYes","Female",45,"incH",0,0,"ChildNo"
"10915",22,9,"Never-Married","Service","CaucNo","Male",80,"incB",0,0,"ChildNo"
"10309",25,10,"Never-Married","Admin","CaucYes","Male",15,"incB",0,0,"ChildYes"
"41418",46,15,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"38411",33,6,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"26693",22,12,"Never-Married","Blue-Collar","CaucNo","Male",20,"incB",0,0,"ChildYes"
"14367",42,15,"Married","Professional","CaucYes","Male",35,"incH",8.89549263145163,0,"ChildNo"
"9250",19,9,"Married","Service","CaucNo","Female",16,"incB",0,0,"ChildNo"
"28890",41,9,"Married","White-Collar","CaucYes","Male",45,"incB",0,0,"ChildNo"
"45657",38,9,"Not-Married","Sales","CaucYes","Male",60,"incB",0,0,"ChildNo"
"29344",18,7,"Never-Married","Service","CaucNo","Male",15,"incB",0,0,"ChildYes"
"21071",20,10,"Never-Married","Admin","CaucYes","Male",14,"incB",0,0,"ChildYes"
"2759",40,10,"Not-Married","White-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
"34182",55,10,"Married","White-Collar","CaucYes","Male",45,"incH",0,7.58984151218266,"ChildNo"
"6295",30,10,"Never-Married","Service","CaucYes","Female",36,"incB",0,0,"ChildNo"
"35759",26,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"29074",32,10,"Married","Sales","CaucYes","Male",50,"incB",8.38640090116621,0,"ChildNo"
"30022",46,13,"Married","Professional","CaucYes","Male",45,"incH",8.94754601503218,0,"ChildNo"
"21970",40,10,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"3145",40,13,"Married","White-Collar","CaucYes","Male",50,"incH",0,0,"ChildNo"
"15834",23,10,"Never-Married","Sales","CaucYes","Female",40,"incB",0,0,"ChildYes"
"14811",40,11,"Never-Married","White-Collar","CaucNo","Female",40,"incB",0,0,"ChildNo"
"37618",22,12,"Never-Married","Service","CaucYes","Female",40,"incB",0,0,"ChildYes"
"21810",41,9,"Not-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"46315",45,14,"Married","Professional","CaucYes","Male",40,"incH",8.94754601503218,0,"ChildNo"
"11037",24,9,"Never-Married","Other-occups","CaucYes","Female",40,"incB",0,0,"ChildNo"
"18969",27,7,"Not-Married","Sales","CaucNo","Male",35,"incB",0,0,"ChildYes"
"33104",37,13,"Not-Married","White-Collar","CaucYes","Female",40,"incH",0,0,"ChildNo"
"48405",48,9,"Widowed","Blue-Collar","CaucYes","Female",60,"incH",0,0,"ChildNo"
"16136",21,9,"Never-Married","Blue-Collar","CaucNo","Female",40,"incB",0,0,"ChildYes"
"24996",41,6,"Married","Blue-Collar","CaucYes","Male",60,"incB",0,0,"ChildNo"
"19406",47,9,"Never-Married","Admin","CaucYes","Male",33,"incB",0,0,"ChildNo"
"5034",42,15,"Married","Professional","CaucYes","Male",50,"incH",0,7.58984151218266,"ChildNo"
"43322",36,13,"Not-Married","White-Collar","CaucYes","Male",40,"incH",8.47386806667786,0,"ChildNo"
"13837",36,13,"Married","Sales","CaucYes","Male",35,"incH",0,7.58984151218266,"ChildNo"
"37739",24,4,"Never-Married","Blue-Collar","CaucYes","Male",24,"incB",0,0,"ChildNo"
"25383",49,14,"Not-Married","Professional","CaucYes","Female",70,"incB",0,0,"ChildNo"
"34630",22,13,"Never-Married","Sales","CaucYes","Female",8,"incB",0,0,"ChildYes"
"9710",36,9,"Not-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"24273",31,10,"Married","Blue-Collar","CaucYes","Male",50,"incH",8.89549263145163,0,"ChildNo"
"46643",28,9,"Never-Married","Blue-Collar","CaucNo","Male",45,"incB",0,0,"ChildYes"
"9058",27,13,"Married","Professional","CaucYes","Male",40,"incB",0,0,"ChildNo"
"9688",37,5,"Married","Blue-Collar","CaucYes","Male",65,"incB",0,0,"ChildNo"
"47111",22,9,"Never-Married","White-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"35144",39,13,"Never-Married","Admin","CaucYes","Female",50,"incB",0,0,"ChildYes"
"33703",42,9,"Married","Blue-Collar","CaucYes","Male",42,"incH",0,0,"ChildNo"
"36437",24,11,"Married","Professional","CaucYes","Male",40,"incH",0,0,"ChildNo"
"47619",37,10,"Not-Married","Service","CaucYes","Female",56,"incB",0,0,"ChildNo"
"3578",53,16,"Married","Professional","CaucYes","Male",50,"incH",8.94754601503218,0,"ChildNo"
"10840",22,9,"Never-Married","Sales","CaucNo","Female",15,"incB",0,0,"ChildYes"
"2812",53,9,"Widowed","Service","CaucNo","Female",20,"incB",0,0,"ChildNo"
"16129",27,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",7.96762673933382,0,"ChildNo"
"26915",51,7,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"17283",21,10,"Never-Married","Service","CaucYes","Female",40,"incB",0,0,"ChildYes"
"14376",25,9,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildYes"
"14844",19,10,"Never-Married","Service","CaucYes","Female",15,"incB",0,0,"ChildYes"
"30937",54,7,"Married","Service","CaucNo","Female",40,"incH",0,0,"ChildNo"
"44061",25,9,"Married","Blue-Collar","CaucYes","Male",50,"incB",0,0,"ChildNo"
"45465",57,9,"Married","Admin","CaucYes","Male",40,"incH",0,0,"ChildNo"
"20076",43,11,"Not-Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
"39976",90,12,"Never-Married","White-Collar","CaucYes","Male",45,"incH",8.7157161275482,0,"ChildNo"
"13435",38,13,"Married","White-Collar","CaucYes","Male",50,"incH",8.89549263145163,0,"ChildNo"
"8263",30,13,"Married","White-Collar","CaucNo","Male",42,"incH",0,0,"ChildNo"
"9657",41,13,"Not-Married","Professional","CaucYes","Male",65,"incB",0,0,"ChildNo"
"27695",30,9,"Married","White-Collar","CaucYes","Male",50,"incB",0,0,"ChildNo"
"7322",20,4,"Never-Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"32898",44,5,"Not-Married","Service","CaucYes","Female",55,"incB",0,0,"ChildNo"
"25907",46,9,"Married","Other-occups","CaucNo","Male",40,"incH",0,0,"ChildNo"
"2732",62,15,"Married","Professional","CaucYes","Male",30,"incH",0,0,"ChildNo"
"30741",42,10,"Married","White-Collar","CaucYes","Female",40,"incH",0,0,"ChildNo"
"2508",59,15,"Married","Sales","CaucYes","Male",25,"incB",0,0,"ChildNo"
"21222",47,10,"Not-Married","Service","CaucYes","Female",45,"incB",0,0,"ChildNo"
"24842",31,9,"Never-Married","Blue-Collar","CaucYes","Female",40,"incB",0,0,"ChildYes"
"33468",50,9,"Married","White-Collar","CaucYes","Male",60,"incH",0,0,"ChildNo"
"48737",55,15,"Married","Professional","CaucYes","Male",40,"incH",0,7.55118686729615,"ChildNo"
"41864",36,9,"Never-Married","Admin","CaucNo","Female",35,"incB",0,0,"ChildNo"
"18107",31,12,"Married","Other-occups","CaucYes","Male",40,"incH",0,0,"ChildNo"
"36654",46,9,"Married","Blue-Collar","CaucNo","Male",30,"incH",0,0,"ChildNo"
"14428",41,9,"Not-Married","Other-occups","CaucYes","Male",40,"incH",0,0,"ChildNo"
"13093",46,13,"Married","Other-occups","CaucYes","Male",40,"incH",0,0,"ChildNo"
"13163",34,13,"Married","Sales","CaucYes","Male",45,"incB",0,0,"ChildNo"
"31536",51,4,"Married","White-Collar","CaucYes","Male",42,"incB",0,0,"ChildNo"
"5299",33,9,"Married","Admin","CaucYes","Female",25,"incB",0,7.46221493976819,"ChildNo"
"756",27,11,"Never-Married","Blue-Collar","CaucYes","Male",38,"incB",0,0,"ChildYes"
"31635",29,9,"Married","Service","CaucNo","Male",25,"incB",0,0,"ChildYes"
"42419",57,4,"Married","Blue-Collar","CaucYes","Male",50,"incB",0,0,"ChildNo"
"15823",24,12,"Never-Married","Admin","CaucYes","Female",15,"incB",0,0,"ChildYes"
"36451",38,10,"Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildNo"
"37775",32,13,"Married","Other-occups","CaucYes","Male",40,"incB",0,0,"ChildNo"
"4444",45,9,"Married","Sales","CaucYes","Male",40,"incH",0,0,"ChildNo"
"45127",46,13,"Not-Married","Sales","CaucNo","Male",40,"incB",0,0,"ChildNo"
"27294",26,9,"Married","White-Collar","CaucYes","Male",45,"incB",0,0,"ChildNo"
"26338",45,10,"Married","White-Collar","CaucYes","Male",40,"incH",0,0,"ChildNo"
"30283",34,13,"Not-Married","Admin","CaucYes","Female",25,"incB",0,0,"ChildNo"
"15882",30,9,"Never-Married","Admin","CaucYes","Female",40,"incB",0,0,"ChildYes"
"48564",35,9,"Never-Married","Blue-Collar","CaucNo","Male",25,"incB",0,0,"ChildNo"
"42255",48,16,"Never-Married","Professional","CaucNo","Female",15,"incB",0,0,"ChildNo"
"25152",40,10,"Married","Professional","CaucYes","Female",40,"incH",0,0,"ChildNo"
"18805",31,12,"Not-Married","Blue-Collar","CaucYes","Male",45,"incB",0,0,"ChildNo"
"39596",54,9,"Married","Admin","CaucYes","Male",40,"incH",0,0,"ChildNo"
"20595",18,7,"Never-Married","Service","CaucYes","Male",12,"incB",0,0,"ChildYes"
"43031",35,10,"Not-Married","Sales","CaucYes","Male",50,"incB",0,0,"ChildNo"
"47725",22,9,"Married","Blue-Collar","CaucNo","Male",40,"incB",0,0,"ChildNo"
"30400",54,10,"Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildNo"
"3670",47,10,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,0,"ChildNo"
"8232",57,9,"Married","Professional","CaucYes","Male",15,"incB",0,0,"ChildNo"
"3750",56,14,"Married","Admin","CaucYes","Male",80,"incH",0,0,"ChildNo"
"33097",30,14,"Married","Professional","CaucYes","Female",30,"incB",0,0,"ChildNo"
"1660",55,6,"Married","Blue-Collar","CaucYes","Male",18,"incB",0,0,"ChildNo"
"28095",34,13,"Never-Married","Professional","CaucYes","Female",62,"incH",0,0,"ChildNo"
"2656",27,13,"Never-Married","Admin","CaucNo","Female",40,"incB",0,0,"ChildNo"
"7754",33,9,"Never-Married","Blue-Collar","CaucNo","Female",40,"incB",0,0,"ChildNo"
"29542",53,14,"Married","Admin","CaucYes","Female",40,"incH",0,0,"ChildNo"
"6847",67,9,"Married","Admin","CaucYes","Female",2,"incB",0,0,"ChildNo"
"9200",35,15,"Married","Professional","CaucYes","Male",75,"incH",0,0,"ChildNo"
"203",51,13,"Married","White-Collar","CaucYes","Male",50,"incH",0,0,"ChildNo"
"5819",36,10,"Never-Married","Service","CaucYes","Male",48,"incB",0,0,"ChildNo"
"24657",46,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",8.150467911624,0,"ChildNo"
"18693",20,9,"Never-Married","Blue-Collar","CaucYes","Female",45,"incB",0,0,"ChildNo"
"12621",43,13,"Married","White-Collar","CaucYes","Male",40,"incH",9.61747075940341,0,"ChildNo"
"17890",49,9,"Not-Married","Service","CaucYes","Female",40,"incB",0,0,"ChildNo"
"15449",28,15,"Married","Professional","CaucYes","Male",60,"incB",0,0,"ChildNo"
"26382",59,9,"Married","Service","CaucYes","Male",45,"incB",0,0,"ChildNo"
"30944",33,10,"Not-Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
"20178",37,9,"Not-Married","Service","CaucYes","Female",30,"incB",0,0,"ChildNo"
"44852",27,7,"Never-Married","Service","CaucNo","Male",40,"incB",0,0,"ChildYes"
"18545",52,9,"Not-Married","Sales","CaucYes","Male",40,"incB",0,0,"ChildNo"
"25784",19,10,"Never-Married","Admin","CaucYes","Female",30,"incB",0,0,"ChildYes"
"28427",28,9,"Never-Married","Service","CaucNo","Male",40,"incB",0,0,"ChildNo"
"10333",24,5,"Married","Sales","CaucYes","Male",45,"incB",0,0,"ChildNo"
"15626",66,9,"Married","Blue-Collar","CaucYes","Male",40,"incB",0,7.72665366484764,"ChildNo"
"14821",33,10,"Married","Service","CaucYes","Male",50,"incB",0,0,"ChildNo"
"39330",59,9,"Never-Married","White-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
"556",69,7,"Never-Married","Blue-Collar","CaucYes","Female",40,"incB",0,0,"ChildNo"
